Name,Year
Ram Setu,(2022)
Thank God,(2022)
Doctor G,(2022)
Dobaaraa,(2022)
Laal Singh Chaddha,(2022)
Vikram Vedha,(2022)
Karthikeya 2,(2022)
Raksha Bandhan,(2022)
Godfather,(2022)
3 Idiots,(2009)
Tumbbad,(2018)
Brahmastra Part One: Shiva,(2022)
Life of Pi,(2012)
Vikram Vedha,(2017)
Rocketry: The Nambi Effect,(2022)
Lion,(2016)
Liger,(2022)
Chup,(2022)
Vikram,(2022)
Major,(2022)
Dangal,(2016)
Maja Ma,(2022)
Goodbye,(I) (2022)
The Hundred-Foot Journey,(2014)
The Darjeeling Limited,(2007)
Gangubai Kathiawadi,(2022)
Plan A Plan B,(2022)
Har Har Mahadev,(2022)
The BFG,(2016)
Runway 34,(2022)
Baahubali 2: The Conclusion,(2017)
Hit: The First Case,(2022)
Modi Ji Ki Beti,(2022)
Gandhi,(1982)
Pushpa: The Rise - Part 1,(2021)
Jai Bhim,(2021)
Khuda Haafiz Chapter 2 Agni Pariksha,(2022)
Babli Bouncer,(2022)
Ginna,(2022)
Kaithi,(2019)
Drishyam,(2015)
Ramayana: The Legend of Prince Rama,(1993)
K.G.F: Chapter 1,(2018)
Gandhada Gudi,(2022)
PK,(2014)
In the Shadows,(2017)
The Man Who Knew Infinity,(2015)
Cuttputlli,(2022)
Kabhi Khushi Kabhie Gham...,(2001)
Gangs of Wasseypur,(2012)
Darlings,(I) (2022)
Andhadhun,(2018)
Sardar Udham,(2021)
Zindagi Na Milegi Dobara,(2011)
Dhokha,(2022)
Bajrangi Bhaijaan,(2015)
Cadaver,(2022)
Jogi,(2022)
Ek Villain Returns,(2022)
'83,(2021)
Kabir Singh,(2019)
The Kashmir Files,(2022)
Jug Jugg Jeeyo,(2022)
The White Tiger,(2021)
Shershaah,(2021)
Like Stars on Earth,(2007)
Bajirao Mastani,(2015)
The Second Best Exotic Marigold Hotel,(2015)
Kuch Kuch Hota Hai,(1998)
Code Name: Tiranga,(2022)
Soorarai Pottru,(2020)
Bhool Bhulaiyaa 2,(2022)
Anek,(2022)
Badhaai Do,(2022)
Kal Ho Naa Ho,(2003)
Lagaan: Once Upon a Time in India,(2001)
Dear Zindagi,(2016)
Shiddat,(2021)
English Vinglish,(2012)
Yeh Jawaani Hai Deewani,(2013)
Pathaan,(2023)
Dangerous,(I) (2021)
Swades,(2004)
My Name Is Khan,(2010)
Love You Loktantra,(2022)
Bhediya,(2022)
Tanhaji: The Unsung Warrior,(2020)
Ra.One,(2011)
Mimi,(I) (2021)
Antim: The Final Truth,(2021)
Jersey,(2022)
Dilwale Dulhania Le Jayenge,(1995)
M.S. Dhoni: The Untold Story,(2016)
Ghajini,(2008)
Devdas,(I) (2002)
Good Luck Jerry,(2022)
Janhit Mein Jaari,(2022)
Phone Bhoot,(2022)
The Lunchbox,(2013)
Dil Se..,(1998)
Sanju,(2018)
Sultan,(2016)
Dilwale,(2015)
Don 2,(2011)
Atrangi Re,(2021)
Bride & Prejudice,(2004)
Stree,(2018)
Uunchai,(2022)
Uri: The Surgical Strike,(2019)
Gully Boy,(2019)
Dil Bechara,(2020)
Zero,(III) (2018)
Badla,(2019)
Sooryavanshi,(2021)
The Other Side of the Door,(2016)
Ala Vaikunthapurramuloo,(2020)
Shamshera,(2022)
Lust Stories,(2018)
Chhichhore,(2019)
Padmaavat,(2018)
Drive,(I) (2019)
Jhund,(2022)
Ludo,(2020)
Dil Chahta Hai,(2001)
Mili,(2022)
Atithi Bhooto Bhava,(2022)
Master,(2021)
Street Fighter: The Legend of Chun-Li,(2009)
Sherdil,(2022)
Rockstar,(2011)
Pad Man,(2018)
A Thursday,(2022)
Let's Go! India,(2007)
Thar,(2022)
Ae Dil Hai Mushkil,(2016)
Cirkus,(2022)
Dhamaka,(2021)
Adipurush,(2023)
Dasvi,(2022)
Capsule Gill,(2023)
Veer-Zaara,(2004)
Jawan,(2023)
Parched,(2015)
Gehraiyaan,(2022)
Guru,(2007)
Jaadugar,(2022)
Barfi!,(2012)
Viceroy's House,(2017)
Kesari,(2019)
Om Shanti Om,(2007)
Heropanti 2,(2022)
Samrat Prithviraj,(2022)
Cobalt Blue,(II) (2022)
Pihu,(2016)
"Monica, O My Darling",(2022)
Haseen Dillruba,(2021)
War,(2019)
OMG 2,(2022)
Rab Ne Bana Di Jodi,(2008)
Talvar,(2015)
Jab Harry Met Sejal,(2017)
Raid,(2018)
Article 15,(2019)
Ashoka the Great,(2001)
Talaash: The Answer Lies Within,(2012)
The Villain,(2014)
Mohabbatein,(2000)
Jab Tak Hai Jaan,(2012)
Love Sonia,(2018)
Bellbottom,(2021)
Happy New Year,(I) (2014)
Queen,(2013)
Ittefaq,(2017)
Jab We Met,(2007)
Dil Dhadakne Do,(2015)
A Wednesday,(2008)
Shabaash Mithu,(2022)
Super 30,(2019)
Ghost Stories,(2020)
Attack,(2022)
Forensic,(2022)
Raees,(2017)
Kisi Ka Bhai Kisi Ki Jaan,(2023)
Chennai Express,(2013)
Dhoom 2,(2006)
Bachchhan Paandey,(2022)
Badhaai Ho,(2018)
Psycho Raman,(2016)
Ugly,(2013)
The Girl on the Train,(2021)
Sir,(I) (2018)
Monsoon Wedding,(2001)
Tadap,(2021)
Radhe,(2021)
Badlapur,(2015)
Trapped,(XVII) (2016)
Raat Akeli Hai,(2020)
Fighter,(2024)
Hindi Medium,(2017)
Color It Yellow,(2006)
Meenakshi Sundareshwar,(2021)
Delhi Belly,(2011)
Satya,(1998)
Khuda Haafiz,(2020)
Krrish 3,(2013)
Seeking True Love,(2017)
2.0,(2018)
Baby,(I) (2015)
Tiger Zinda Hai,(2017)
Hindutva,(2022)
Sharmaji Namkeen,(2022)
Baazigar,(1993)
Tiger 3,(2023)
Shaadi Mein Zaroor Aana,(2017)
Sholay,(1975)
Saaho,(2019)
Kapoor & Sons,(2016)
Thappad,(2020)
Nikamma,(2022)
Karwaan,(2018)
Mission Majnu,(2022)
Tara vs Bilal,(2022)
Love Games,(2016)
Satyam Shivam Sundaram: Love Sublime,(1978)
Jayeshbhai Jordaar,(2022)
Climax,(I) (2020)
Main Hoon Na,(2004)
Baazaar,(2018)
The Tashkent Files,(2019)
The Brawler,(2017)
Jalsa,(2022)
Parmanu: The Story of Pokhran,(2018)
Kaun Pravin Tambe?,(2022)
Sonu Ke Titu Ki Sweety,(2018)
Yodha,(2023)
Student of the Year,(2012)
Batti Gul Meter Chalu,(2018)
Kahani Rubberband Ki,(2022)
Peace,(II) (2022)
Detective Byomkesh Bakshy!,(2015)
Mere Desh Ki Dharti,(2022)
Hum Do Hamare Do,(2021)
Serious Men,(2020)
The Body,(II) (2019)
Govinda Naam Mera,(2022)
Student of the Year 2,(2019)
Toolsidas Junior,(2022)
Udta Punjab,(2016)
The Sky Is Pink,(2019)
Aankhen 2,(2021)
Dhoom 3,(2013)
Kamasutra 3D,(2013)
Kaabil,(2017)
Mister Mummy,(2022)
Ganapath,(2022)
Dr. Cabbie,(2014)
Kaho Naa... Pyaar Hai,(2000)
Ankhon Dekhi,(2013)
Evil Eye,(II) (2020)
Hasee Toh Phasee,(2014)
Angrezi Medium,(2020)
Haider,(2014)
No Smoking,(2007)
Dil To Pagal Hai,(1997)
Anand,(1971)
Salaar,(2023)
Fan,(I) (2016)
Kites,(I) (2010)
Raazi,(2018)
Te3n,(2016)
Dobaara: See Your Evil,(2017)
Race 3,(2018)
Hera Pheri,(2000)
Water,(I) (2005)
Anbe Sivam,(2003)
Kabhi Alvida Naa Kehna,(2006)
Golmaal Again,(2017)
Company,(2002)
Let's Be Friends!,(2002)
Munna Bhai M.B.B.S.,(2003)
Looop Lapeta,(2022)
Hum,(1991)
Bhool Bhulaiyaa,(2007)
The Conversion,(II) (2022)
Ramprasad Ki Tehrvi,(2019)
Kai Po Che,(2013)
Yashoda,(2022)
Bob Biswas,(2021)
Brothers,(I) (2015)
Housefull 4,(2019)
Double XL,(2022)
Mohenjo Daro,(2016)
Marjaavaan,(2019)
Sadak 2,(2020)
OMG: Oh My God!,(2012)
Mission Mangal,(2019)
Shehzada,(2023)
Thugs of Hindostan,(2018)
Maqbool,(2003)
Chandigarh Kare Aashiqui,(2021)
Darr,(1993)
Manorama: Six Feet Under,(2007)
Section 375,(2019)
Love Aaj Kal,(2009)
Maidaan,(2023)
Malang,(2020)
Mahanati,(2018)
Salaam Bombay!,(1988)
October,(II) (2018)
Go Goa Gone,(2013)
Bhaag Milkha Bhaag,(2013)
Race 2,(2013)
Pyaar Ka Punchnama,(2011)
Thirst,(1957)
Ajab Prem Ki Ghazab Kahani,(2009)
RamLeela,(2013)
Operation Romeo,(2022)
Amar Akbar Anthony,(1977)
Hum Saath-Saath Hain,(1999)
Kalank,(2019)
Hum Tum,(2004)
Ramaiya Vastavaiya,(2013)
Tamasha,(2015)
Half Girlfriend,(2017)
Pink,(III) (2016)
Paheli,(2005)
Oye Lucky! Lucky Oye!,(2008)
Roadside Romeo,(2008)
Naam Shabana,(2017)
Secret Superstar,(2017)
Kambakkht Ishq,(2009)
Guide,(1965)
Don,(I) (2006)
Saawariya,(2007)
Black Friday,(2004)
Kahaani,(2012)
Mardaani 2,(2019)
Arjun: The Warrior Prince,(2012)
Mrs. Serial Killer,(2020)
Aladin,(2009)
Bulbbul,(2020)
Madras Cafe,(2013)
Mom,(I) (2017)
Mera Naam Joker,(1970)
Jaane Tu... Ya Jaane Na,(2008)
Judaa Hoke Bhi,(2022)
Bhoot,(2003)
Dhoom,(2004)
Masaan,(2015)
Notebook,(I) (2019)
Good Newwz,(2019)
Panipat,(2019)
Rashmi Rocket,(2021)
Jodhaa Akbar,(2008)
AK vs AK,(2020)
NH 10,(2015)
Freddy,(2022)
Cocktail,(2012)
Jersey,(2019)
Shagird,(2011)
Toilet: A Love Story,(2017)
Guilty,(II) (2020)
Bhavesh Joshi Superhero,(2018)
Laxmii,(2020)
Om - The Battle Within,(2022)
Dhaakad,(2022)
Piku,(2015)
Great Grand Masti,(2016)
Laila Majnu,(2018)
Kuttey,(2023)
Table No. 21,(2013)
Aiyaary,(2018)
Shakthi: The Power,(2002)
Koi Jaane Na,(2021)
Hum Aapke Hain Koun..!,(1994)
Batla House,(2019)
Mumbai Diaries,(2010)
Nasha,(2013)
Shubh Mangal Savdhan,(2017)
Mumbai Saga,(2021)
Eiga Doraemon: Nobita no getsumen tansaki,(2019)
Vicky Donor,(2012)
Kabhi Haan Kabhi Naa,(1994)
Bhavai,(2021)
1971,(2007)
Karthik Calling Karthik,(2010)
Aa Bhi Ja O Piya,(2022)
Tryst with Destiny,(2021)
Singham,(2011)
Black,(2005)
Ship of Theseus,(2012)
Bachna Ae Haseeno,(2008)
Tuesdays and Fridays,(2021)
Sarkar,(2005)
Housefull 3,(2016)
The Intern,(2022)
Sanam Teri Kasam,(2016)
Untitled Luv Ranjan Film,(2023)
In Your Name,(2003)
Aashiqui 2,(2013)
Desi Boyz,(2011)
Sadak,(1991)
Welcome Home,(VI) (2020)
Nympho: The Lust Story,(2020)
Class of '83,(2020)
Baadshah,(1999)
Wazir,(I) (2016)
Jee Le Zaraa,
Miss Teacher,(2016)
Badmaash Company,(2010)
Husband Material,(2018)
Roohi,(2021)
Laal Kaptaan,(2019)
Bade Miyan Chote Miyan,(2023)
Taish,(2020)
Ragini MMS 2,(2014)
Driving Licence,(2023)
Skater Girl,(2021)
Khamoshiyan,(2015)
Hate Story IV,(2018)
Naam,(2022)
Ek Tha Tiger,(2012)
Animal,(2023)
Murder 2,(2011)
Fanaa,(2006)
Rocky Aur Rani Ki Prem Kahani,(2023)
Tanu Weds Manu Returns,(2015)
Badrinath Ki Dulhania,(2017)
Dishoom,(2016)
The Warriorr,(2022)
Love Per Square Foot,(2018)
The Archies,(2023)
Mulk,(I) (2018)
Koi... Mil Gaya,(2003)
Wanted,(I) (2009)
Sherni,(2021)
House Arrest,(I) (2019)
Shaandaar,(2015)
Carefree,(2016)
Welcome,(I) (2007)
Housefull 2,(2012)
Chalte Chalte,(2003)
Dream Girl,(III) (2019)
Suraj Pe Mangal Bhari,(2020)
Pagglait,(2021)
Life in a Metro,(2007)
Airlift,(2016)
Lakshya,(2004)
Aligarh,(2015)
Rangeela,(1995)
Footfairy,(2020)
Sanak,(2021)
Bhoot Police,(2021)
Golmaal 3,(2010)
Chhorii,(2021)
The Big Bull,(2021)
Made in China,(II) (2019)
Manto,(2018)
Mujhse Shaadi Karogi,(2004)
Raja Natwarlal,(2014)
No One Killed Jessica,(2011)
Masti,(2004)
Total Dhamaal,(2019)
Simmba,(2018)
Dybbuk: The Curse Is Real,(2021)
Qarib Qarib Single,(2017)
Bala,(2019)
Fukrey,(2013)
Action Jackson,(I) (2014)
Raanjhanaa,(2013)
13B: Fear Has a New Address,(2009)
Zwigato,(2022)
Agneepath,(2012)
Gulabo Sitabo,(2020)
Shootout at Lokhandwala,(2007)
Dev.D,(2009)
Chehre,(2021)
Dostana,(2008)
Udaan,(2010)
Hum Tumhare Hain Sanam,(2002)
Bodyguard,(I) (2011)
Mard Ko Dard Nahin Hota,(2018)
Photograph,(I) (2019)
Children's Party,(2011)
Kedarnath,(2018)
The Lovers,(I) (2015)
Bang Bang,(I) (2014)
Main Tera Hero,(2014)
Tere Bin Laden,(2010)
Ginny Weds Sunny,(2020)
Beautiful,(XII) (2020)
Special 26,(2013)
Rocky Handsome,(2016)
OK Jaanu,(2017)
Khoobsurat,(2014)
Pagalpanti,(2019)
Luka Chuppi,(I) (2019)
Heyy Babyy,(2007)
Hisss,(2010)
A Death in the Gunj,(2016)
Karma,(1986)
Commando 3,(2019)
Baar Baar Dekho,(2016)
Dhamaal,(2007)
Bhoothnath,(2008)
Luck by Chance,(2009)
Raavan,(2010)
Golmaal Returns,(2008)
Yuva,(2004)
Tubelight,(2017)
Tehran,(2023)
Pati Patni Aur Woh,(2019)
Gunday,(2014)
Gurgaon,(2017)
Chup Chup Ke,(2006)
De De Pyaar De,(2019)
Jawaani Jaaneman,(2020)
Har Kisse Ke Hisse: Kaamyaab,(2018)
Omkara,(2006)
Jism 2,(2012)
Highway,(I) (2014)
The Legend,(2022)
Vishwaroopam,(2013)
Raabta,(2017)
Do Dooni Chaar,(2010)
"LSD: Love, Sex Aur Dhokha",(2010)
Mary Kom,(2014)
Ram Lakhan,(1989)
Johnny Gaddaar,(2007)
Love Will Take Over,(2018)
Mr. & Mrs. Mahi,(2023)
Agneepath,(1990)
Hum Dil De Chuke Sanam,(1999)
Shaakuntalam,(2023)
Mother India,(1957)
Hate Story 3,(2015)
420 IPC,(2021)
Indian 2,(2023)
Breakaway,(2011)
Shanghai,(2012)
Love Aaj Kal,(2020)
Hate Story,(2012)
Junglee,(2019)
Billu,(2009)
Deewaar,(1975)
Phir Hera Pheri,(2006)
Pyaar Ka Punchnama 2,(2015)
Aitraaz,(2004)
Mahakaal,(1994)
Shubh Mangal Zyada Saavdhan,(2020)
Paan Singh Tomar,(2012)
B.A. Pass,(2012)
Bhuj: The Pride of India,(2021)
Takht,
Street Dancer 3D,(2020)
Trimurti,(1995)
Family: Ties of Blood,(2006)
Ardh Satya,(1983)
Mughal-E-Azam,(1960)
Love Hostel,(2022)
Court,(2014)
Unpaused,(2020)
Krrish,(2006)
Humpty Sharma Ki Dulhania,(2014)
Bombay Velvet,(2015)
Prem Ratan Dhan Payo,(2015)
Kaagaz,(2021)
Ajeeb Daastaans,(2021)
Dolly Kitty and Those Twinkling Stars,(2019)
Guest iin London,(2017)
Romeo Akbar Walter,(2019)
Murder,(2004)
Saand Ki Aankh,(2019)
Rocket Gang,(2022)
Chef,(2017)
Andaz Apna Apna,(1994)
JGM (JanaGanaMana),(2023)
Dum Laga Ke Haisha,(2015)
Grand Masti,(2013)
Motichoor Chaknachoor,(2019)
Dabangg 3,(2019)
Baaghi,(2016)
Zanjeer,(1973)
Akira,(I) (2016)
Hichki,(2018)
Ghulam,(1998)
Once Again,(2018)
Gadar 2,
A Flying Jatt,(2016)
Kaalakaandi,(2018)
Aankhen,(2002)
The Zoya Factor,(2019)
Gunjan Saxena: The Kargil Girl,(2020)
Mard,(1985)
36 China Town,(2006)
Sangharsh,(1999)
Satyameva Jayate 2,(2021)
Baaghi 3,(2020)
Chakda 'Xpress,
Oh My Ghost,(2022)
Shaan,(1980)
Different,(2006)
Kaminey,(2009)
Anjaana Anjaani,(2010)
Rock On!!,(2008)
Lootera,(I) (2013)
Bluffmaster,(2005)
Khatta Meetha,(2010)
Ghost,(I) (2019)
Shirdi Ke Sai Baba,(1977)
Shivaay,(2016)
Hurdang,(2022)
Yaara,(I) (2020)
Game,(I) (2011)
Missing,(I) (2018)
Phantom,(I) (2015)
Jannat House,(2020)
Hungama 2,(2021)
Gorkha,
Why Cheat India,(2019)
Maidan-E-Jung,(1995)
Sandeep Aur Pinky Faraar,(2021)
Gabbar Is Back,(2015)
Jolly LLB 2,(2017)
The Accidental Prime Minister,(2019)
Yaariyan 2,(2023)
Betaab,(1983)
Ek Chhotisi Love Story,(2002)
AK 47,(2004)
Singh Saab the Great,(2013)
Chhoti Si Baat,(1976)
Meri Pyaari Bindu,(2017)
Veere Di Wedding,(2018)
Khakee,(2004)
Haryana,(2022)
Gadar: Ek Prem Katha,(2001)
Agni Sakshi,(1996)
Parineeta,(2005)
Vishwaroopam 2,(2018)
Tum Mile,(2009)
Paltan,(2018)
Trishna,(2011)
Begum Jaan,(2017)
Paa,(2009)
Bholaa,(2023)
Main Chup Rahungi,(1962)
Vaah! Life Ho Toh Aisi!,(2005)
Aye Zindagi,(2022)
Raaz 3,(2012)
Madaari,(2016)
Lupt,(2018)
Kaali Khuhi,(2020)
Ajnabee,(2001)
Bharat,(2019)
Kartoot,(2022)
Qurbani,(1980)
Action Replayy,(2010)
Angoor,(1982)
Marakkar: Lion of the Arabian Sea,(2021)
Housefull,(2010)
Jolly LLB,(2013)
Praana,(2019)
Sangam,(I) (1964)
Sardaar Gabbar Singh,(2016)
Kuch Kuch Locha Hai,(2015)
Jewel Thief,(1967)
Khufiya,
Duplicate,(1998)
Bedhadak,
Thalaivi,(2021)
Laadla,(1994)
Blackmail,(I) (2018)
Kaun?,(1999)
Kaante,(2002)
Tumko Na Bhool Paayenge,(2002)
Hazaaron Khwaishein Aisi,(2003)
Khiladi 786,(2012)
Fitoor,(2016)
Rustom,(2016)
Ladies vs. Ricky Bahl,(2011)
Ferrous,(2022)
Squad,(I) (2021)
Chal Mere Bhai,(2000)
Procession of Memories,(1973)
Ki & Ka,(2016)
Kurbaan,(2009)
Bunty Aur Babli 2,(2021)
Judwaa,(1997)
Teri Meherbaniyan,(1985)
Diljale,(1996)
Jaanwar,(1999)
Bol Bachchan,(2012)
Yudhra,(2022)
